Название,Тикер,Биржа,Cектор,Изм.%
3P Land,3PLA,NSE,Недвижимость,"-0,88"
3rd Rock Multimedia Ltd,3RDR,NSE,Услуги связи,0
63 Moons Tech,63MO,NSE,Информационные технологии,"4,14"
A2z Infra Engineering,A2ZI,NSE,Промышленность,"-3,96"
AAA Technologies,AAAH,NSE,Информационные технологии,"1,47"
Ambica Agarbathies Aroma Industries,AAAI,NSE,Материалы,"1,01"
Aarvee Denims Exports Ltd,AADM,NSE,Потребительский сектор,"-0,38"
Aakash Exploration Services,AAKA,NSE,Энергетика,"-4,26"
Aarvi Encon,AARI,NSE,Промышленность,"-2,91"
Aaron Industries,AARN,NSE,Промышленность,"-2,03"
Aarti Surfactants,AARU,NSE,Материалы,"3,77"
Aban Offshore,ABAN,NSE,Энергетика,"-0,57"
ABB India,ABB,NSE,Промышленность,"-1,96"
A B Cotspin India,ABCO,NSE,Потребительский сектор,0
Ashoka Buildcon Ltd,ABDL,NSE,Промышленность,"-0,88"
Abhishek Integrations,ABHE,NSE,Промышленность,"4,98"
A B Infrabuild,ABIN,NSE,Промышленность,"-4,99"
Aditya Birla Money Ltd,ABML,NSE,Финансы,"-1,11"
Abm Intl,ABMN,NSE,Промышленность,0
Abm International,ABMT,NSE,Промышленность,"-4,2"
Abbott India Ltd,ABOT,NSE,Здравоохранение,"-0,92"
Ambuja Cements,ABUJ,NSE,Материалы,"0,21"
ACC,ACC,NSE,Материалы,"-0,72"
Accord Synergy,ACCO,NSE,Промышленность,"4,85"
Accuracy Shipping,ACCU,NSE,Промышленность,"-0,92"
Accelya Solutions,ACCY,NSE,Информационные технологии,"-3,34"
Action Construction Equipment,ACEL,NSE,Промышленность,"3,18"
Ace Integrated,ACEN,NSE,Промышленность,0
Allcargo Logistics,ACLL,NSE,Промышленность,"-1,43"
Greenearth Resources Projects,ACPL,NSE,Материалы,0
Acrysil,ACRI,NSE,Промышленность,"-2,14"
Adani Total Gas,ADAG,NSE,Коммунальные услуги,"-0,57"
Adani Transmission Ltd,ADAI,NSE,Коммунальные услуги,"-2,02"
Adani Power,ADAN,NSE,Коммунальные услуги,"-2,11"
Adani Wilmar,ADAW,NSE,Производители товаров массового потребления,"-1,64"
Adani Enterprises,ADEL,NSE,Промышленность,"-1,37"
Advanced Enzyme Tech,ADEN,NSE,Материалы,"-1,35"
Advani Hotels Resorts India,ADHO,NSE,Потребительский сектор,"-1,17"
Aditya Birla Fashion,ADIA,NSE,Потребительский сектор,"-0,66"
Aditya Birla Sun Life Amc,ADIE,NSE,Финансы,"-1,04"
Allied Digital Services,ADIS,NSE,Информационные технологии,"-1,2"
Adani Green Energy,ADNA,NSE,Коммунальные услуги,"-2,22"
Ador Welding Ltd,ADOR,NSE,Промышленность,"-0,84"
Aarey Drugs and Pharma,ADPH,NSE,Здравоохранение,"-0,91"
Aarti Drugs Ltd,ADRG,NSE,Здравоохранение,"-2,62"
Aditya Birla Capital,ADTB,NSE,Финансы,-1
Aegis Logistics Ltd,AEGS,NSE,Энергетика,"1,98"
Aether Industries,AETH,NSE,Здравоохранение,"1,64"
Affle India,AFFL,NSE,Услуги связи,"-2,47"
AGI Greenpac,AGIG,NSE,Материалы,"3,7"
Agro Tech Foods,AGRO,NSE,Производители товаров массового потребления,"-0,86"
Agro Phos,AGRP,NSE,Материалы,"0,55"
AGS Transact Technologies,AGST,NSE,Информационные технологии,"2,22"
Agri Tech India Ltd,AGTL,NSE,Производители товаров массового потребления,"-0,94"
Agarwal Industrial Corp,AGWL,NSE,Материалы,"0,17"
Ashiana Housing Ltd,AHFN,NSE,Недвижимость,"-1,51"
Ahimsa Industries Ltd,AHIN,NSE,Материалы,0
Ahlada Engineers,AHLA,NSE,Промышленность,"4,99"
Ahluwalia Contracts,AHLU,NSE,Промышленность,"-0,98"
AIA Engineering,AIAE,NSE,Промышленность,"-0,23"
Airan,AIRA,NSE,Информационные технологии,"-1,08"
AiroLam,AIRO,NSE,Материалы,"6,07"
Asahi India Glass,AISG,NSE,Потребительский сектор,"0,69"
Amrutanjan Health Care,AJAN,NSE,Здравоохранение,"-0,24"
Ajmera Realty Infra India,AJME,NSE,Недвижимость,"-0,97"
Ajooni Biotech,AJOO,NSE,Производители товаров массового потребления,"-5,03"
Ajanta Pharma Ltd,AJPH,NSE,Здравоохранение,"1,41"
AJR Infra and Tolling,AJRI,NSE,Промышленность,"-3,03"
Akash Infra-Projects,AKAS,NSE,Промышленность,"2,15"
AKG Exim,AKGE,NSE,Производители товаров массового потребления,"-2,08"
Aksharchem India,AKSH,NSE,Материалы,"5,05"
Aksh Optifibre Ltd,AKSO,NSE,Информационные технологии,"-1,61"
Akzo Nobel India,AKZO,NSE,Материалы,"-0,23"
Alankit Ltd,ALAK,NSE,Информационные технологии,"0,43"
Albert David,ALBD,NSE,Здравоохранение,"-1,73"
Alchemist Ltd,ALCL,NSE,Производители товаров массового потребления,0
Alembic Pharmaceuticals Ltd,ALEM,NSE,Здравоохранение,"-0,44"
Alicon Castalloy Ltd,ALIO,NSE,Потребительский сектор,"0,1"
Alkem Laboratories Ltd,ALKE,NSE,Здравоохранение,"-1,31"
Alkyl Amines Chemicals Ltd,ALKY,NSE,Материалы,"-1,01"
Allsec Technologies Ltd,ALLS,NSE,Промышленность,"-1,67"
Alembic Ltd,ALMC,NSE,Недвижимость,"-0,82"
Alkali Metals Ltd,ALML,NSE,Материалы,"3,39"
Alok Industries,ALOK,NSE,Потребительский сектор,"-1,38"
Alpa Laboratories Ltd,ALPA,NSE,Здравоохранение,"-1,55"
Alphageo India Ltd,ALPI,NSE,Энергетика,"0,74"
Alps Industries Ltd,ALPS,NSE,Потребительский сектор,"-2,08"
